Target sign date,Sales Type,Opportunity Name,Net ACV,BL Forecast Category,Quarterly Forecast Net,Quarterly Forecast Net (AI-Enabled),Weighted ACV,Weighted ACV (AI-Enabled),Quarterly Commit (Net New),Quarterly Commit Net (AI-Enabled),Blended Forecast (base),Blended Forecast (AI-Enabled),Pod,Opportunity Owner
4/30/26,New business,Emigrant Bank - SQO,200000,Gut,120000,120000,40000,40000,0,0,64000,40000,US,Ananth Cherukupally
4/15/26,New business,Pure Storage - Proposal,120000,Commit,120000,120000,60000,60000,120000,120000,78000,114000,US,Ananth Cherukupally
4/15/26,New business,Petco,200000,Gut,120000,120000,40000,40000,0,0,64000,40000,US,Ananth Cherukupally
2/27/26,New business,Vista Equity Partners - Proposal,275000,Commit,275000,275000,90750,90750,275000,275000,146025,261250,US,Ananth Cherukupally
4/30/26,New business,Airbnb - Marketing Compliance,120000,Pipeline,0,0,38400,38400,0,0,26880,0,US,Asad Hussain
4/30/26,New business,Ecolab - AI Contracting,120000,Pipeline,0,0,38400,38400,0,0,26880,0,US,Asad Hussain
4/30/26,New business,Docusign - Discovery,120000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Asad Hussain
4/30/26,New business,Fluor - Contract Review Technology,500000,Pipeline,0,0,100000,100000,0,0,70000,0,US,Asad Hussain
4/30/26,New business,Coherent Coherent  - Vendor Onboarding,1000000,Gut,600000,600000,320000,320000,0,0,404000,320000,US,Asad Hussain
4/8/26,New business,Goosehead Insurance - Discovery,100000,Pipeline,0,0,10000,10000,0,0,7000,0,US,Asad Hussain
3/31/26,New business,Away - Marketing Compliance,120000,Pipeline,0,0,24000,24000,0,0,16800,0,US,Asad Hussain
3/31/26,New business,Zero RFI - AI-Augmented M&A,120000,Gut,72000,72000,24000,24000,0,0,38400,24000,US,Asad Hussain
2/28/26,New business,Asana - AI-Augmented Contracting,250000,Pipeline,0,0,187500,187500,0,0,131250,0,US,Asad Hussain
2/15/26,New business,Southwest Airlines - Contracting,180000,Commit,180000,180000,135000,135000,180000,180000,148500,171000,US,Asad Hussain
4/30/26,New business,Apple - Discovery,300000,Pipeline,0,0,30000,30000,0,0,21000,0,US,Julie Stefanich
4/30/26,New business,State Farm - Discovery,100000,Pipeline,0,0,10000,10000,0,0,7000,0,US,Julie Stefanich
3/31/26,New business,Goldman Sachs Group - Discovery,240000,Pipeline,0,0,24000,24000,0,0,16800,0,US,Julie Stefanich
3/31/26,New business,MetLife - Discovery,120000,Pipeline,0,0,24000,24000,0,0,16800,0,US,Julie Stefanich
3/31/26,New business,Macmillan - Qualifying,100000,Pipeline,0,0,2000,2000,0,0,1400,0,US,Julie Stefanich
3/31/26,New business,WWT - Discovery,120000,Pipeline,0,0,21600,21600,0,0,15120,0,US,Julie Stefanich
3/31/26,New business,Mainsail Partners - Discovery,300000,Pipeline,0,0,60000,60000,0,0,42000,0,US,Julie Stefanich
3/31/26,New business,Procter & Gamble - Discovery,300000,Pipeline,0,0,30000,30000,0,0,21000,0,US,Julie Stefanich
3/31/26,New business,Chevron,300000,Gut,180000,180000,75000,75000,0,0,106500,75000,US,Julie Stefanich
3/31/26,Expansion,Chevron,300000,Gut,180000,180000,30000,30000,0,0,75000,30000,US,Julie Stefanich
2/28/26,New business,Corebridge Financial - SQO,300000,Pipeline,0,0,60000,60000,0,0,42000,0,US,Julie Stefanich
2/28/26,Expansion,National Grid - Proposal,150000,Commit,150000,150000,75000,75000,150000,150000,97500,142500,US,Julie Stefanich
2/28/26,New business,Uber - SQO,120000,Gut,72000,72000,24000,24000,0,0,38400,24000,US,Julie Stefanich
2/28/26,New business,T-Mobile - SQO,120000,Pipeline,0,0,24000,24000,0,0,16800,0,US,Julie Stefanich
2/28/26,New business,The Wonderful Company - SQO,250000,Gut,150000,150000,80000,80000,0,0,101000,80000,US,Julie Stefanich
2/28/26,New business,Genworth Financial - Discovery,300000,Gut,180000,180000,60000,60000,0,0,96000,60000,US,Julie Stefanich
2/28/26,New business,Charles Schwab,300000,Gut,180000,180000,30000,30000,0,0,75000,30000,US,Julie Stefanich
2/28/26,Expansion,Cargill,500000,Commit,500000,500000,100000,100000,500000,500000,220000,475000,US,Julie Stefanich
4/27/26,New business,Johnson & Johnson - Contracting,300000,Gut,180000,180000,60000,60000,0,0,96000,60000,US,Justin Hills
4/24/26,New business,Intel - Insights & Sigma,100000,Pipeline,0,0,20000,20000,0,0,14000,0,US,Justin Hills
4/10/26,New business,Cox Media Groups - M&A,120000,Gut,72000,72000,50400,50400,0,0,56880,50400,US,Justin Hills
3/31/26,New business,AES - Sigma,60000,Gut,36000,36000,25200,25200,0,0,28440,25200,US,Justin Hills
3/31/26,Expansion,IQVIA - Insights RFP,120000,Pipeline,0,0,60000,60000,0,0,42000,0,US,Justin Hills
2/27/26,New business,Novelis - Sigma,95000,Gut,57000,57000,71250,71250,0,0,66975,71250,US,Justin Hills
2/13/26,New business,Home Depot - Compliance + Sigma & Insights,120000,Commit,120000,120000,108000,108000,120000,120000,111600,114000,US,Justin Hills
4/1/26,New business,Space Systems Command,1900000,Pipeline,0,0,106400,106400,0,0,74480,0,US,Mike Masiello
3/18/26,New business,State of Alaska,100000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Mike Masiello
2/28/26,New business,SSA (Social Security Administration) Pilot Scoping,100000,Pipeline,0,0,8000,8000,0,0,5600,0,US,Mike Masiello
2/28/26,New business,USDA Contracting OCIO,100000,Pipeline,0,0,8000,8000,0,0,5600,0,US,Mike Masiello
2/28/26,New business,SOCOM SSA Solution (Source Selection),3000000,Pipeline,0,0,360000,360000,0,0,252000,0,US,Mike Masiello
2/28/26,New business,UK Government - SQO,100000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Mike Masiello
2/28/26,New business,US Marine Corps (AI Workshop Quantico),100000,Commit,100000,100000,18000,18000,100000,100000,42600,95000,US,Mike Masiello
2/28/26,New business,NATO - Proposal,150000,Pipeline,0,0,33000,33000,0,0,23100,0,US,Mike Masiello
2/28/26,Expansion,Air Force STTR w/ Univ. of Michigan,130000,Gut,78000,78000,28600,28600,0,0,43420,28600,US,Mike Masiello
2/28/26,New business,Army Futures Command - Discovery,100000,Pipeline,0,0,8000,8000,0,0,5600,0,US,Mike Masiello
2/28/26,New business,State of Arizona,100000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Mike Masiello
2/28/26,New business,World Bank / IFC (PE),100000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Mike Masiello
2/28/26,Expansion,USAF SBIR Phase 1,75000,Gut,45000,45000,16500,16500,0,0,25050,16500,US,Mike Masiello
2/28/26,New business,State of California (LADA),100000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Mike Masiello
2/28/26,New business,Vulcan Special Ops - AI Augmented Doc Review,340000,Pipeline,0,0,68000,68000,0,0,47600,0,US,Mike Masiello
2/28/26,New business,DECA / Army - Phase 0,250000,Commit,250000,250000,55000,55000,250000,250000,113500,237500,US,Mike Masiello
2/28/26,Expansion,USAF / Space Force (USSF),100000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Mike Masiello
2/11/26,New business,Army Applications Lab,150000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Mike Masiello
2/10/26,New business,DIU (Defense Innovation Unit),300000,Pipeline,0,0,24000,24000,0,0,16800,0,US,Mike Masiello
4/30/26,New business,Datadog - Contracting,120000,Pipeline,0,0,24000,24000,0,0,16800,0,US,Olivia Jung
4/30/26,Expansion,Gilead Sciences - Discovery,100000,Pipeline,0,0,18000,18000,0,0,12600,0,US,Olivia Jung
4/30/26,New business,Bristol Myers Squibb - Discovery,100000,Pipeline,0,0,10000,10000,0,0,7000,0,US,Olivia Jung
4/30/26,New business,Thermo Fisher - Discovery,120000,Pipeline,0,0,12000,12000,0,0,8400,0,US,Olivia Jung
4/30/26,New business,CHS - M&A,120000,Pipeline,0,0,21600,21600,0,0,15120,0,US,Olivia Jung
4/30/26,New business,Intuit - Litigation,120000,Pipeline,0,0,21600,21600,0,0,15120,0,US,Olivia Jung
4/30/26,New business,Dolby - FDE (IP),100000,Pipeline,0,0,2000,2000,0,0,1400,0,US,Olivia Jung
3/31/26,New business,Western Digital - Contracting,120000,Gut,72000,72000,60000,60000,0,0,63600,60000,US,Olivia Jung
3/31/26,New business,Cummins - Contracting,120000,Pipeline,0,0,24000,24000,0,0,16800,0,US,Olivia Jung
3/31/26,New business,Wellspan Health - Contracting Solution,120000,Gut,72000,72000,24000,24000,0,0,38400,24000,US,Olivia Jung
3/31/26,New business,Crate & Barrel - Discovery,100000,Pipeline,0,0,20000,20000,0,0,14000,0,US,Olivia Jung
3/31/26,New business,Meta - Litigation,400000,Pipeline,0,0,128000,128000,0,0,89600,0,US,Olivia Jung
