Id,StageName,Closed_Lost_Reason__c,Closed_Lost_Detail__c,Closed_Lost_Date__c,Owner_Note
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,CLO never responded. Move to nurture / re-assign.,2026-01-30,Applied Materials (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,RFP Process,Going through RFP style process. Move to nurture / re-assign.,2026-01-30,Booz Allen Hamilton (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Went cold. Move to nurture and re-assign.,2026-01-30,American Arbitration Association (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,No Path to DM,Never got connected to CLO - DGC went cold. Move to nurture / reassign.,2026-01-30,Archer Daniel Midlands (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Started ghosting us. Move to nurture / reassign.,2026-01-30,BetterUp (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Timing,I just don't think they will buy anytime soon. Move to nurture / reassign.,2026-01-30,Canva (Asad)
REASSIGN_ONLY,NO_STAGE_CHANGE,Reassign Only,Move to Alex Fox / Conor Molloy. They will takeover.,2026-01-30,CNA (Asad) - REASSIGN TO EU
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Never got a response to post Summit emails. Move to nurture / reassign.,2026-01-30,Corning (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Competitor,Cannot use non-Deep Mind models. Move to nurture / reassign.,2026-01-30,DeepMind (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Never got a response to post Summit emails. Move to nurture / reassign.,2026-01-30,G-III (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Not Qualified,Not qualified - too small. Move to nurture.,2026-01-30,IAC (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Stopped responding. Move to nurture / reassign.,2026-01-30,Motiva (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,No Path to DM,No direct path to CLO. DGC / HOLO trap. Move to nurture / reassign.,2026-01-30,Novartis (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Stopped responding. Move to nurture / reassign.,2026-01-30,Oscar (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never actually got meeting. Move to nurture / reassign.,2026-01-30,Procore (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never actually got meeting. Move to nurture / reassign.,2026-01-30,Spotify (Asad)
